"id","name","type_tax_use","amount_type","amount","invoice_label","description","description@az","tax_group_id","active","children_tax_ids","tax_exigibility","cash_basis_transition_account_id","is_withholding_tax","fiscal_position_ids","original_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing"
"az_tax_sale_vat_18","18% REC","sale","percent","18","18%","Supply of goods, performance of works, rendering of services","Malların təqdim edilməsi, işlərin görülməsi, xidmətlərin göstərilməsi üzrə əməliyyatlar","az_tax_group_vat_18","1","","on_payment","az_account_52120","0","az_fiscal_position_vat","","100","base","invoice","","1(B)",""
"","","","","","","","","","","","","","","","","100","tax","invoice","az_account_52110","1(T)","1"
"","","","","","","","","","","","","","","","","100","base","refund","","1(B)",""
"","","","","","","","","","","","","","","","","100","tax","refund","az_account_52110","1(T)","1"
"az_tax_sale_vat_18_r","18% R","sale","percent","0","18%","Supply of goods, performance of works, rendering of services","Malların təqdim edilməsi, işlərin görülməsi, xidmətlərin göstərilməsi üzrə əməliyyatlar","az_tax_group_vat_18","1","","on_invoice","","0","az_fiscal_position_vat","","100","base","invoice","","9(B)",""
"","","","","","","","","","","","","","","","","100","tax","invoice","az_account_52110","","1"
"","","","","","","","","","","","","","","","","100","base","refund","","9(B)",""
"","","","","","","","","","","","","","","","","100","tax","refund","az_account_52110","","1"
"az_tax_sale_vat_18_group","18%","sale","group","18","18%","Supply of goods, performance of works, rendering of services","Malların təqdim edilməsi, işlərin görülməsi, xidmətlərin göstərilməsi üzrə əməliyyatlar","az_tax_group_vat_18","1","az_tax_sale_vat_18,az_tax_sale_vat_18_r","","","0","az_fiscal_position_vat","","","","","","",""
"az_tax_sale_vat_18_a","18% A","sale","percent","18","18%","Agricultural products resale","Digər şəxslərdən alınan və ya idxal olunan kənd təsərrüfatı məhsullarının (xarici mənşəli balıq məhsulları istisna olmaqla) satışı üzrə əməliyyatlar","az_tax_group_vat_18","1","","on_payment","az_account_52120","0","az_fiscal_position_vat","","100","base","invoice","","3(B)",""
"","","","","","","","","","","","","","","","","100","tax","invoice","az_account_52110","3(T)","1"
"","","","","","","","","","","","","","","","","100","base","refund","","3(B)",""
"","","","","","","","","","","","","","","","","100","tax","refund","az_account_52110","3(T)","1"
