"id","name","name@az","country_id","tax_payable_account_id","tax_receivable_account_id"
"az_tax_group_vat_18","VAT 18%","ƏDV 18%","base.az","az_account_52130","az_account_24110"
"az_tax_group_vat_0","VAT 0%","ƏDV 0%","base.az","az_account_52130","az_account_24110"
"az_tax_group_vat_exempt","Exempt","ƏDV-dən","base.az","az_account_52130","az_account_24110"
"az_tax_group_vat_20","VAT 20%","ƏDV 20%","base.az","az_account_52130","az_account_24110"
"az_tax_group_vat_return","VAT Return","Bərpa edilən ƏDV","base.az","az_account_52130","az_account_24110"
"az_tax_group_wht_ins_4","WHT 4% Risk insurance or reinsurance payments","4% Risk sığortası/təkrarsığorta","base.az","az_account_52190",""
"az_tax_group_wht_div_5","WHT 5% Dividends paid by resident enterprises","5% Dividendlər","base.az","az_account_52190",""
"az_tax_group_wht_tel_6","WHT 6% Telecommunications or international transport services","6% Telekommunikasiya/beynəlxalq daşımalar","base.az","az_account_52190",""
"az_tax_group_wht_int_10","WHT 10% Interest paid by residents, PEs of non-residents, or on behalf of such PEs (except for interest paid to resident banks or to PEs of non-resident banks)","10% Faizlər","base.az","az_account_52190",""
"az_tax_group_wht_low_10","WHT 10% Payments to low-tax jurisdictions","10% Güzəştli vergi tutulan ölkələrə ödənişlər","base.az","az_account_52190",""
"az_tax_group_wht_rent_14","WHT 14% Rental fees for movable and immovable property","14% İcarə haqları","base.az","az_account_52190",""
"az_tax_group_wht_roy_14","WHT 14% Royalties","14% Royalti","base.az","az_account_52190",""
"az_tax_group_wht_oth_10","WHT 10% Other Azerbaijani-source income","10% Digər Azərbaycan mənbəyindən gəlirlər","base.az","az_account_52190",""
"az_tax_group_simplified","Simplified Tax","Sadələşdirilmiş vergi","base.az","az_account_52165",""
