"id","name","l10n_ec_type","sequence","country_id","tax_payable_account_id","tax_receivable_account_id","name@es"
"tax_group_ice","Special Consumptions (ICE)","ice","5","base.ec","ec_ice_tax_deduction","ec_ice_tax_deduction","Consumos Especiales (ICE)"
"tax_group_vat_05","VAT 5%","vat05","10","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 5%"
"tax_group_vat_08","VAT 8%","vat08","20","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 8%"
"tax_group_vat_12","VAT 12%","vat12","30","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 12%"
"tax_group_vat_13","VAT 13%","vat13","40","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 13%"
"tax_group_vat14","VAT 14%","vat14","50","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 14%"
"tax_group_vat_15","VAT 15%","vat15","60","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 15%"
"tax_group_vat0","VAT 0%","zero_vat","70","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA 0%"
"tax_group_vat_not_charged","Non-Subject VAT","not_charged_vat","80","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","IVA no cobrado"
"tax_group_vat_exempt","Exempt VAT","exempt_vat","90","base.ec","ec_vat_tax_deduction","ec_vat_tax_credit","Exento de IVA"
"tax_group_irbpnr","Plastic Bottles (IRBPNR)","irbpnr","100","base.ec","ec_irbpnr_tax_deduction","ec_irbpnr_tax_deduction","Botellas de plástico (IRBPNR)"
"tax_group_withhold_vat_sale","Sales Withholding VAT","withhold_vat_sale","110","base.ec","ec_vat_tax_deduction","ec_withhold_tax_credit","Retención IVA en Ventas"
"tax_group_withhold_vat_purchase","Purchase Withholding VAT","withhold_vat_purchase","120","base.ec","ec_vat_tax_deduction","ec_withhold_tax_credit","Retención IVA en Compras"
"tax_group_withhold_income_sale","Sale Profit Withhold","withhold_income_sale","130","base.ec","ec_profit_tax_deduction","ec_profit_tax_credit","Retención Renta en Ventas"
"tax_group_withhold_income_purchase","Purchase Profit Withhold","withhold_income_purchase","140","base.ec","ec_profit_tax_deduction","ec_profit_tax_credit"
"tax_group_outflows","Exchange Outflows","outflows_tax","150","base.ec","ec_others_tax_deduction","ec_others_tax_credit","Salidas por cambio"
"tax_group_others","Others","other","160","base.ec","ec_others_tax_deduction","ec_others_tax_credit","Otros"
