"id","name","code","account_type","reconcile"
"account_common_canary_4707","Hacienda Pública, deudor por IGIC","4707","asset_current","False"
"account_common_canary_47071","Hacienda Pública, deudora por IGIC régimen transitorio circulante","47071","asset_current","False"
"account_common_canary_47072","Hacienda Pública, deudora por IGIC régimen transitorio inversión","47072","asset_current","False"
"account_common_canary_4727","Hacienda Pública. IGIC Soportado","4727","asset_current","False"
"account_common_canary_4757","Hacienda Pública, acreedor por IGIC","4757","asset_current","False"
"account_common_canary_4777","Hacienda Pública. IGIC Repercutido","4777","liability_current","False"
"account_common_canary_6343","Ajustes negativos en IGIC de circulante","6343","expense","False"
"account_common_canary_6344","Ajustes negativos en IGIC de inversión","6344","expense","False"
"account_common_canary_6393","Ajustes positivos en IGIC de circulante","6393","expense","False"
"account_common_canary_6394","Ajustes positivos en IGIC de inversión","6394","expense","False"
