"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","name@es","name@ca","method_number","method_period"
"account_asset_es_research","account_common_200","account_common_2800","account_common_680","Research","Investigación","Recerca","60","1"
"account_asset_es_development","account_common_201","account_common_2801","account_common_680","Development","Desarrollo","Desenvolupament","60","1"
"account_asset_es_administrative_concessions","account_common_202","account_common_2802","account_common_682","Administrative concessions","Concesiones administrativas","Concessions administratives","60","1"
"account_asset_es_industrial_property","account_common_203","account_common_2803","account_common_682","Industrial property","Propiedad industrial","Propietat industrial","120","1"
"account_asset_es_leaseholds","account_common_205","account_common_2805","account_common_682","Leaseholds","Derechos de traspaso","Drets de traspàs","60","1"
"account_asset_es_computer_software","account_common_206","account_common_2806","account_common_682","Computer software","Aplicaciones informáticas","Aplicacions informàtiques","60","1"
"account_asset_es_advances_intangible","account_common_209","account_common_2806","account_common_682","Advances for intangible assets","Anticipos para inmovilizaciones intangibles","Avançaments per a immobilitzacions intangibles","60","1"
"account_asset_es_buildings","account_common_211","account_common_2811","account_common_681","Buildings","Construcciones","Construccions","360","1"
"account_asset_es_technical_installations","account_common_212","account_common_2812","account_common_681","Technical installations","Instalaciones técnicas","Instal·lacions tècniques","120","1"
"account_asset_es_machinery","account_common_213","account_common_2813","account_common_681","Machinery","Maquinaria","Maquinària","96","1"
"account_asset_es_equipment","account_common_214","account_common_2814","account_common_681","Equipment","Utillaje","Utillatge","60","1"
"account_asset_es_other_installations","account_common_215","account_common_2815","account_common_681","Other installations","Otras instalaciones","Altres instal·lacions","120","1"
"account_asset_es_furniture","account_common_216","account_common_2816","account_common_681","Furniture","Mobiliario","Mobiliari","120","1"
"account_asset_es_it_equipment","account_common_217","account_common_2817","account_common_681","Information technology equipment","Equipos para proceso de información","Equips per a processos d'informació","48","1"
"account_asset_es_motor_vehicles","account_common_218","account_common_2818","account_common_681","Motor vehicles","Elementos de transporte","Elements de transport","48","1"
"account_asset_es_other_ppe","account_common_219","account_common_2819","account_common_681","Other property, plant and equipment","Otro inmovilizado material","Altre immobilitzat material","60","1"
"account_asset_es_investment_buildings","account_common_221","account_common_282","account_common_682","Investments in buildings","Inversiones en construcciones","Inversions en construccions","360","1"
