"id","type_tax_use","name","amount","amount_type","tax_group_id","sequence","price_include","description","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"account_tax_template_igic_r_0","sale","IGIC 0%","0.0","percent","tax_group_igic_0","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_r_3","sale","IGIC 3%","3.0","percent","tax_group_igic_3","","","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4777"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4777"
"account_tax_template_igic_r_7","sale","IGIC 7%","7.0","percent","tax_group_igic_7","0","","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4777"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4777"
"account_tax_template_igic_r_9_5","sale","IGIC 9,5%","9.5","percent","tax_group_igic_95","","","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4777"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4777"
"account_tax_template_igic_r_15","sale","IGIC 15%","15.0","percent","tax_group_igic_15","","","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4777"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4777"
"account_tax_template_igic_r_20","sale","IGIC 20%","20.0","percent","tax_group_igic_20","","","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4777"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4777"
"account_tax_template_igic_s_ISP0","sale","IGIC 0% Venta con Inversión del Sujeto Pasivo","0.0","percent","tax_group_igic_0","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_ex_0","sale","IGIC 0% (Exportaciones)","0.0","percent","tax_group_igic_0","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_re_ex","sale","IGIC Exento Repercutido","0.0","percent","tax_group_igic_ex","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_cmino","sale","Exento por Comercio minorista","0.0","percent","tax_group_igic_cmino","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_sop_cmino","purchase","Exento por Comercio minorista","0.0","percent","tax_group_igic_cmino","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_sop_3_cmino","purchase","IGIC 3% Soportado (Comercio minorista)","2.1","percent","tax_group_igic_cmino","","True","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4727"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4727"
"account_tax_template_igic_sop_7_cmino","purchase","IGIC 7% Soportado (Comercio minorista)","4.9","percent","tax_group_igic_cmino","0","True","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4727"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4727"
"account_tax_template_igic_sop_9_5_cmino","purchase","IGIC 9,5% Soportado (Comercio minorista)","6.65","percent","tax_group_igic_cmino","","True","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4727"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4727"
"account_tax_template_igic_sop_15_cmino","purchase","IGIC 15% Soportado (Comercio minorista)","10.5","percent","tax_group_igic_cmino","","True","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4727"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4727"
"account_tax_template_igic_sop_20_cmino","purchase","IGIC 20% Soportado (Comercio minorista)","14.0","percent","tax_group_igic_cmino","","True","","base","invoice",""
"","","","","","","","","","tax","invoice","account_common_canary_4727"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_common_canary_4727"
"account_tax_template_s_igic_ns","sale","IGIC No sujeto Repercutido","0.0","percent","tax_group_igic_0","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_s_igic_reav","sale","IGIC Repercutido incluido REAV","0.0","percent","tax_group_igic_reav","","","S_REAV","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"account_tax_template_igic_p_ex","purchase","IGIC Exento Soportado","0.0","percent","tax_group_igic_ex","","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
