"id","name"
"tax_group_igic_0","IGIC 0%"
"tax_group_igic_3","IGIC 3%"
"tax_group_igic_7","IGIC 7%"
"tax_group_igic_95","IGIC 9,5%"
"tax_group_igic_15","IGIC 15%"
"tax_group_igic_20","IGIC 20%"
"tax_group_igic_ex","IGIC EXENTO"
"tax_group_igic_re_0","IGIC Recargo de Equivalencia 0%"
"tax_group_igic_re_03","IGIC Recargo de Equivalencia 0,3%"
"tax_group_igic_re_07","IGIC Recargo de Equivalencia 0,7%"
"tax_group_igic_re_095","IGIC Recargo de Equivalencia 0,95%"
"tax_group_igic_re_15","IGIC Recargo de Equivalencia 1,5%"
"tax_group_igic_re_20","IGIC Recargo de Equivalencia 2%"
"tax_group_igic_cmino","IGIC Comercio Minorista"
"tax_group_igic_reav","REAV"
