"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@fr","active"
"fiscal_position_template_domestic","10","Domestic - France","1","1","","l10n_fr.fr_and_mc","","","Domestique - France","True"
"fiscal_position_template_domestic_mc","20","Domestic - Monaco","1","","base.mc","","","","Domestique - Monaco","False"
"fiscal_position_template_domestic_gf","21","Domestic - Guyana","1","","base.gf","","","","Domestique - Guyane","False"
"fiscal_position_template_domestic_gp","22","Domestic - Guadeloupe","1","","base.gp","","","","Domestique - Guadeloupe","False"
"fiscal_position_template_domestic_mq","23","Domestic - Martinique","1","","base.mq","","","","Domestique - Martinique","False"
"fiscal_position_template_domestic_re","24","Domestic - Reunion","1","","base.re","","","","Domestique - Réunion","False"
"fiscal_position_template_domestic_yt","25","Domestic - Mayotte","1","","base.yt","","","","Domestique - Mayotte","False"
"fiscal_position_template_intraeub2c","30","EU private","1","","","base.europe","","","EU privé","True"
"fiscal_position_template_intraeub2b","40","Intra-EU B2B","1","1","","base.europe","tva_normale","tva_sale_good_intra_0","Intra-EU B2B","True"
"","","","","","","","tva_normale_ttc","tva_sale_good_intra_0","","True"
"","","","","","","","tva_intermediaire_encaissement","tva_sale_service_intra_0","","True"
"","","","","","","","tva_normale_encaissement","tva_sale_service_intra_0","","True"
"","","","","","","","tva_normale_encaissement_ttc","tva_sale_service_intra_0","","True"
"","","","","","","","tva_intermediaire_encaissement_ttc","tva_sale_service_intra_0","","True"
"","","","","","","","tva_specifique","tva_sale_good_intra_0","","True"
"","","","","","","","tva_specifique_ttc","tva_sale_good_intra_0","","True"
"","","","","","","","tva_intermediaire","tva_sale_good_intra_0","","True"
"","","","","","","","tva_intermediaire_ttc","tva_sale_good_intra_0","","True"
"","","","","","","","tva_reduite","tva_sale_good_intra_0","","True"
"","","","","","","","tva_reduite_ttc","tva_sale_good_intra_0","","True"
"","","","","","","","tva_reduite_encaissement_ttc","tva_sale_service_intra_0","","True"
"","","","","","","","tva_reduite_encaissement","tva_sale_service_intra_0","","True"
"","","","","","","","tva_super_reduite","tva_sale_good_intra_0","","True"
"","","","","","","","tva_super_reduite_ttc","tva_sale_good_intra_0","","True"
"","","","","","","","tva_super_reduite_encaissement_ttc","tva_sale_service_intra_0","","True"
"","","","","","","","tva_super_reduite_encaissement","tva_sale_service_intra_0","","True"
"","","","","","","","tva_acq_normale","tva_intra_normale_biens","","True"
"","","","","","","","tva_acq_specifique","tva_intra_specifique_biens","","True"
"","","","","","","","tva_acq_encaissement","tva_intra_normale_services","","True"
"","","","","","","","tva_acq_intermediaire_encaissement","tva_intra_intermediaire_services","","True"
"","","","","","","","tva_acq_intermediaire","tva_intra_intermediaire_biens","","True"
"","","","","","","","tva_acq_reduite","tva_intra_reduite_biens","","True"
"","","","","","","","tva_acq_encaissement_reduite","tva_intra_reduite_services","","True"
"","","","","","","","tva_acq_super_reduite","tva_intra_super_reduite_biens","","True"
"","","","","","","","tva_acq_encaissement_super_reduite","tva_intra_super_reduite_services","","True"
"fiscal_position_template_import_export","50","Import/Export Outside Europe + DOM-TOM","1","","","","tva_normale","tva_sale_good_export_0","Import/Export Hors Europe + DOM-TOM","True"
"","","","","","","","tva_normale_ttc","tva_sale_good_export_0","","True"
"","","","","","","","tva_normale_encaissement","tva_sale_service_export_0","","True"
"","","","","","","","tva_intermediaire_encaissement","tva_sale_service_export_0","","True"
"","","","","","","","tva_normale_encaissement_ttc","tva_sale_service_export_0","","True"
"","","","","","","","tva_intermediaire_encaissement_ttc","tva_sale_service_export_0","","True"
"","","","","","","","tva_specifique","tva_sale_good_export_0","","True"
"","","","","","","","tva_specifique_ttc","tva_sale_good_export_0","","True"
"","","","","","","","tva_intermediaire","tva_sale_good_export_0","","True"
"","","","","","","","tva_intermediaire_ttc","tva_sale_good_export_0","","True"
"","","","","","","","tva_reduite","tva_sale_good_export_0","","True"
"","","","","","","","tva_reduite_ttc","tva_sale_good_export_0","","True"
"","","","","","","","tva_reduite_encaissement_ttc","tva_sale_service_export_0","","True"
"","","","","","","","tva_reduite_encaissement","tva_sale_service_export_0","","True"
"","","","","","","","tva_super_reduite","tva_sale_good_export_0","","True"
"","","","","","","","tva_super_reduite_ttc","tva_sale_good_export_0","","True"
"","","","","","","","tva_super_reduite_encaissement_ttc","tva_sale_service_export_0","","True"
"","","","","","","","tva_super_reduite_encaissement","tva_sale_service_export_0","","True"
"","","","","","","","tva_acq_normale","tva_import_outside_eu_20","","True"
"","","","","","","","tva_acq_specifique","tva_import_outside_eu_8_5","","True"
"","","","","","","","tva_acq_intermediaire","tva_import_outside_eu_10","","True"
"","","","","","","","tva_acq_reduite","tva_import_outside_eu_5_5","","True"
"","","","","","","","tva_acq_super_reduite","tva_import_outside_eu_2_1","","True"
