"id","name","description","invoice_label","amount","amount_type","sequence","type_tax_use","include_base_amount","is_base_affected","tax_group_id","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@fr","price_include_override"
"oms_0_percent","0% OM","0% Octroi de mer","0% OM","0.0","percent","1","none","1","0","tax_group_sea_grant","","","","","base","invoice","","","20% Octroi de mer",""
"","","","","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","","","","tax","refund","","","",""
"oms_105_percent","10.5% OM","10.5% Octroi de mer","10.5% OM","10.5","percent","1","none","1","0","tax_group_sea_grant","","","","","base","invoice","","","10.5% Octroi de mer",""
"","","","","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","","","","tax","refund","","","",""
"oms_155_percent","15.5% OM","15.5% Octroi de mer","15.5% OM","15.5","percent","1","none","1","0","tax_group_sea_grant","","","","","base","invoice","","","15.5% Octroi de mer",""
"","","","","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","","","","tax","refund","","","",""
"omrs_0_percent","0% OMR","0% Octroi de mer regional","0% OMR","0.0","percent","1","none","1","0","tax_group_regional_sea_grant","","","","","base","invoice","","","0% Octroi de mer regional",""
"","","","","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","","","","tax","refund","","","",""
"omrs_250_percent","2.5% OMR","2.5% Octroi de mer regional","2.5% OMR","2.5","percent","1","none","1","0","tax_group_regional_sea_grant","","","","","base","invoice","","","2.5% Octroi de mer regional",""
"","","","","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","","","","tax","refund","","","",""
"omrs_4_percent","4% OMR","4% Octroi de mer regional","4% OMR","4.0","percent","1","none","1","0","tax_group_regional_sea_grant","","","","","base","invoice","","","4% Octroi de mer regional",""
"","","","","","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","","","","","base","refund","","","",""
"","","","","","","","","","","","","","","","tax","refund","","","",""
