"id","name","code","account_type","reconcile","non_trade","asset_model_ids","parent_id","active"
"ge_account_100000","Assets","100000","asset_current","False","","","","False"
"ge_account_100001","Liquidity Transfer","100001","asset_current","True","True","","ge_account_100000",""
"ge_account_110000","Cash on Hand","110000","asset_cash","False","","","ge_account_100000","False"
"ge_account_110110","Cash on Hand","110110","asset_cash","False","","","ge_account_110000",""
"ge_account_120000","Cash in Bank Accounts","120000","asset_cash","False","","","ge_account_100000","False"
"ge_account_120110","Cash in Bank","120110","asset_cash","False","","","ge_account_120000",""
"ge_account_120210","Bank Suspense","120210","asset_current","False","True","","ge_account_120000",""
"account_journal_payment_debit_account_id","Outstanding Receipts","120310","asset_current","True","True","","ge_account_120000",""
"account_journal_payment_credit_account_id","Outstanding Payments","120410","asset_current","True","True","","ge_account_120000",""
"ge_account_120990","Other Bank Accounts","120990","asset_cash","False","","","ge_account_120000",""
"ge_account_130000","Short - Term Investments","130000","asset_current","False","","","ge_account_100000","False"
"ge_account_130110","Current Portion of Long-Term Investments","130110","asset_current","False","","","ge_account_130000",""
"ge_account_130990","Other Short Term Investments","130990","asset_current","False","","","ge_account_130000",""
"ge_account_140000","Accounts Receivable","140000","asset_receivable","True","","","ge_account_100000","False"
"ge_account_140110","Accounts Receivable","140110","asset_receivable","True","","","ge_account_140000",""
"ge_account_140120","Accounts Receivable (POS)","140120","asset_receivable","True","","","ge_account_140000",""
"ge_account_140130","Current Portion of Long-Term Receivables","140130","asset_receivable","True","","","ge_account_140000",""
"ge_account_140140","Allowance for Expected Credit Losses (ECL)","140140","asset_receivable","True","","","ge_account_140000",""
"ge_account_140310","Receivables from Employees","140310","asset_current","False","","","ge_account_140000",""
"ge_account_140320","Receivables from Management Supervisory Bodies","140320","asset_current","False","","","ge_account_140000",""
"ge_account_140410","Receivables from Loans to Partners","140410","asset_receivable","True","","","ge_account_140000",""
"ge_account_140510","Receivables from Affiliated Enterprises (I/C)","140510","asset_receivable","True","","","ge_account_140000",""
"ge_account_140610","VAT Receivable","140610","asset_receivable","True","True","","ge_account_140000",""
"ge_account_140710","Owner's Current Account","140710","asset_receivable","True","True","","ge_account_140000",""
"ge_account_140990","Other Short-Term Receivables","140990","asset_receivable","True","","","ge_account_140000",""
"ge_account_150000","Advances","150000","asset_current","False","","","ge_account_100000","False"
"ge_account_150110","Advances Paid to Suppliers","150110","asset_current","False","","","ge_account_150000",""
"ge_account_150120","Advances to Contractors","150120","asset_current","False","","","ge_account_150000",""
"ge_account_150310","Payroll Advances","150310","asset_current","False","","","ge_account_150000",""
"ge_account_150510","Advances Paid to Affiliated Enterprises (I/C)","150510","asset_current","False","","","ge_account_150000",""
"ge_account_160000","Inventory","160000","asset_current","False","","","ge_account_100000","False"
"ge_account_160110","Goods","160110","asset_current","False","","","ge_account_160000",""
"ge_account_160210","Raw Materials and Supplies","160210","asset_current","False","","","ge_account_160000",""
"ge_account_160230","Work in Process Inventory","160230","asset_current","False","","","ge_account_160000",""
"ge_account_160410","Finished Goods","160410","asset_current","False","","","ge_account_160000",""
"ge_account_160510","Consumable Materials","160510","asset_current","False","","","ge_account_160000",""
"ge_account_160520","Maintenance & Operating Supplies","160520","asset_current","False","","","ge_account_160000",""
"ge_account_160530","Fuel","160530","asset_current","False","","","ge_account_160000",""
"ge_account_160610","Cost of Production","160610","asset_current","True","","","ge_account_160000",""
"ge_account_160810","Goods in Transit","160810","asset_current","True","","","ge_account_160000",""
"ge_account_160990","Other Inventory","160990","asset_current","False","","","ge_account_160000",""
"ge_account_161001","Intermediate Inventory Account","161001","asset_current","False","","","ge_account_160000",""
"ge_account_161002","Inventory Adjustments Differences","161002","asset_current","False","","","ge_account_160000",""
"ge_account_161003","Stock Valuation","161003","asset_current","False","","","ge_account_160000",""
"ge_account_170000","Prepaid Expenses","170000","asset_prepayments","False","","","ge_account_100000","False"
"ge_account_170110","Prepaid Medical Insurance","170110","asset_prepayments","False","","","ge_account_170000",""
"ge_account_170120","Prepaid Vehicle Insurance","170120","asset_prepayments","False","","","ge_account_170000",""
"ge_account_170190","Prepaid Other Insurance","170190","asset_prepayments","False","","","ge_account_170000",""
"ge_account_170250","Prepaid Sponsorship Fees","170250","asset_prepayments","False","","","ge_account_170000",""
"ge_account_170910","Other Prepaid Expenses","170910","asset_current","False","","","ge_account_170000",""
"ge_account_170920","Prepaid Other Tax","170920","asset_current","False","","","ge_account_170000",""
"ge_account_170990","Other Prepayments","170990","asset_prepayments","False","","","ge_account_170000",""
"ge_account_180000","Accrued Receivables","180000","asset_receivable","True","","","ge_account_100000","False"
"ge_account_180110","Dividends Receivable","180110","asset_receivable","True","","","ge_account_180000",""
"ge_account_180120","Interest Receivable","180120","asset_receivable","True","","","ge_account_180000",""
"ge_account_180210","Accrued Revenue Unbilled Services (Service WIP)","180210","asset_receivable","True","","","ge_account_180000",""
"ge_account_180910","Other Accrued Receivables","180910","asset_current","False","","","ge_account_180000",""
"ge_account_190000","Other Current Assets","190000","asset_current","False","","","ge_account_100000","False"
"ge_account_190110","Refundable Deposits","190110","asset_current","False","","","ge_account_190000",""
"ge_account_190910","Other Current Assets","190910","asset_current","False","","","ge_account_190000",""
"ge_account_200000","Non-Current Assets","200000","asset_non_current","False","","","","False"
"ge_account_210000","Fixed Assets","210000","asset_fixed","False","","","ge_account_200000","False"
"ge_account_210001","Transit Account for Fixed Assets","210001","asset_fixed","False","","","ge_account_210000",""
"ge_account_210110","Land","210110","asset_fixed","False","","","ge_account_210000",""
"ge_account_210120","Construction in Progress","210120","asset_fixed","False","","","ge_account_210000",""
"ge_account_211210","Buildings & Construction","211210","asset_fixed","False","","ge_asset_buildings","ge_account_210000",""
"ge_account_211310","Machinery and Equipment","211310","asset_fixed","False","","ge_asset_machinery","ge_account_210000",""
"ge_account_211410","Office Equipment","211410","asset_fixed","False","","ge_asset_office_equipment","ge_account_210000",""
"ge_account_211420","Furniture and Fixtures","211420","asset_fixed","False","","ge_asset_furniture","ge_account_210000",""
"ge_account_211510","Vehicles","211510","asset_fixed","False","","ge_asset_vehicles","ge_account_210000",""
"ge_account_212610","Leasehold Improvements","212610","asset_fixed","False","","ge_asset_leasehold","ge_account_210000",""
"ge_account_213810","Right of Use Asset (IFRS 16)","213810","asset_fixed","False","","ge_asset_rou","ge_account_210000",""
"ge_account_216990","Other Fixed Assets","216990","asset_fixed","False","","ge_asset_other_ppe","ge_account_210000",""
"ge_account_220000","Accumulated Depreciation - PPE","220000","asset_fixed","False","","","ge_account_200000","False"
"ge_account_221210","Depreciation Buildings & Construction","221210","asset_fixed","False","","","ge_account_220000",""
"ge_account_221310","Depreciation Machinery and Equipment","221310","asset_fixed","False","","","ge_account_220000",""
"ge_account_221410","Depreciation Office Equipment","221410","asset_fixed","False","","","ge_account_220000",""
"ge_account_221420","Depreciation Furniture and Fixtures","221420","asset_fixed","False","","","ge_account_220000",""
"ge_account_221510","Depreciation Vehicles","221510","asset_fixed","False","","","ge_account_220000",""
"ge_account_222610","Depreciation Leasehold Improvements","222610","asset_fixed","False","","","ge_account_220000",""
"ge_account_223810","Depreciation Right-of-Use Assets","223810","asset_fixed","False","","","ge_account_220000",""
"ge_account_225990","Depreciation Other Fixed Assets","225990","asset_fixed","False","","","ge_account_220000",""
"ge_account_250000","Intangible Assets - Cost","250000","asset_non_current","False","","","ge_account_200000","False"
"ge_account_256110","Licenses","256110","asset_non_current","False","","ge_asset_licenses","ge_account_250000",""
"ge_account_256210","Computer Software","256210","asset_non_current","False","","ge_asset_software","ge_account_250000",""
"ge_account_256310","Franchises","256310","asset_non_current","False","","ge_asset_franchises","ge_account_250000",""
"ge_account_256410","Patents","256410","asset_non_current","False","","ge_asset_patents","ge_account_250000",""
"ge_account_256510","Goodwill","256510","asset_non_current","False","","ge_asset_goodwill","ge_account_250000",""
"ge_account_256990","Other Intangible Assets","256990","asset_non_current","False","","ge_asset_other_intangibles","ge_account_250000",""
"ge_account_260000","Accumulated Amortisation - Intangibles","260000","asset_non_current","False","","","ge_account_200000","False"
"ge_account_266110","Amortisation Licenses","266110","asset_non_current","False","","","ge_account_260000",""
"ge_account_266210","Amortisation Computer Software","266210","asset_non_current","False","","","ge_account_260000",""
"ge_account_266310","Amortisation Franchises","266310","asset_non_current","False","","","ge_account_260000",""
"ge_account_266410","Amortisation Patents","266410","asset_non_current","False","","","ge_account_260000",""
"ge_account_266510","Amortisation Goodwill","266510","asset_non_current","False","","","ge_account_260000",""
"ge_account_266990","Amortisation Other Intangibles","266990","asset_non_current","False","","","ge_account_260000",""
"ge_account_270000","Long-Term Receivables","270000","asset_non_current","False","","","ge_account_200000","False"
"ge_account_270510","Intercompany Loans Receivable (I/C)","270510","asset_non_current","False","","","ge_account_270000",""
"ge_account_270990","Other Long-Term Receivables","270990","asset_non_current","False","","","ge_account_270000",""
"ge_account_280000","Long-Term Investments","280000","asset_non_current","False","","","ge_account_200000","False"
"ge_account_280110","Equity Investments","280110","asset_non_current","False","","","ge_account_280000",""
"ge_account_280210","Debt Investments","280210","asset_non_current","False","","","ge_account_280000",""
"ge_account_300000","Liabilities","300000","liability_current","False","","","","False"
"ge_account_310000","Short-Term Liabilities","310000","liability_current","False","","","ge_account_300000","False"
"ge_account_310110","Accounts Payable Trade and Services","310110","liability_payable","True","","","ge_account_310000",""
"ge_account_310210","Bills to receive","310210","liability_current","True","","","ge_account_310000",""
"ge_account_310310","Salaries Payable","310310","liability_current","True","","","ge_account_310000",""
"ge_account_310315","Liabilities to Employees (Non-Salary)","310315","liability_payable","True","","","ge_account_310000",""
"ge_account_310510","Liabilities to Affiliated Enterprises (I/C)","310510","liability_payable","True","","","ge_account_310000",""
"ge_account_310610","Deferred Income (Advances Received)","310610","liability_current","False","","","ge_account_310000",""
"ge_account_310710","Credit card","310710","liability_credit_card","False","","","ge_account_310000",""
"ge_account_310990","Other Short-Term Liabilities","310990","liability_current","False","","","ge_account_310000",""
"ge_account_320000","Short-Term Loans","320000","liability_current","False","","","ge_account_300000","False"
"ge_account_320110","Short-Term Loans","320110","liability_current","False","","","ge_account_320000",""
"ge_account_320210","Current Portion of Long-Term Loans","320210","liability_current","False","","","ge_account_320000",""
"ge_account_320510","Loans from Affiliated Enterprises (I/C)","320510","liability_current","False","","","ge_account_320000",""
"ge_account_320990","Other Short-Term Financial Liability","320990","liability_current","False","","","ge_account_320000",""
"ge_account_330000","Tax and Government Liabilities","330000","liability_current","False","","","ge_account_300000","False"
"ge_account_330010","General Tax Card","330010","liability_payable","True","","","ge_account_330000",""
"ge_account_331110","Corporate Income Taxes","331110","liability_current","False","","","ge_account_330000",""
"ge_account_331210","Withholding Tax (WHT) Payable","331210","liability_current","False","True","","ge_account_330000",""
"ge_account_331211","Withholding Tax (WHT) Settled","331211","expense","False","","","ge_account_331210",""
"ge_account_331212","Withholding Tax (WHT) Transition Account","331212","liability_current","False","","","ge_account_331210",""
"ge_account_331310","Employee Personal Income Tax (PIT) Accrued","331310","liability_current","True","","","ge_account_330000",""
"ge_account_331311","Employee Personal Income Tax (PIT) Prepaid Settled","331311","asset_current","False","","","ge_account_330000",""
"ge_account_332010","Pension Contribution Accrued","332010","liability_current","False","","","ge_account_330000",""
"ge_account_332011","Pension Contribution Prepaid Settled","332011","asset_current","False","","","ge_account_330000",""
"ge_account_333001","VAT Settlement Account","333001","asset_current","False","True","","ge_account_330000",""
"ge_account_333002","VAT Output","333002","liability_current","False","True","","ge_account_330000",""
"ge_account_333010","VAT Payable","333010","liability_payable","True","True","","ge_account_330000",""
"ge_account_333011","VAT Accrued on Customer advances","333011","liability_current","False","","","ge_account_330000",""
"ge_account_333040","VAT Payable on Imports","333040","liability_current","False","","","ge_account_330000",""
"ge_account_333060","Reverse Charge VAT Payable","333060","liability_current","False","","","ge_account_330000",""
"ge_account_334002","Input VAT Pending Invoice","334002","asset_current","False","True","","ge_account_330000",""
"ge_account_334010","Input VAT Local Purchases","334010","asset_current","False","","","ge_account_330000",""
"ge_account_334020","Input VAT Advances to Suppliers","334020","asset_current","False","","","ge_account_330000",""
"ge_account_334030","Input VAT on Imports","334030","asset_current","False","","","ge_account_330000",""
"ge_account_334040","Input Reverse Charge VAT","334040","asset_current","False","","","ge_account_330000",""
"ge_account_335010","Excise Tax Accrued","335010","liability_current","False","","","ge_account_330000",""
"ge_account_335120","Excise Tax Paid (Input / Offset)","335120","asset_current","False","","","ge_account_330000",""
"ge_account_336010","Import Tax","336010","liability_current","False","","","ge_account_330000",""
"ge_account_337010","Property Tax","337010","liability_current","False","","","ge_account_330000",""
"ge_account_337020","Property Tax Prepayment","337020","asset_current","False","","","ge_account_330000",""
"ge_account_339090","Other Tax Liabilities","339090","liability_current","False","","","ge_account_330000",""
"ge_account_340000","Accrued Liabilities","340000","liability_payable","True","","","ge_account_300000","False"
"ge_account_340110","Accrued Interest Payable","340110","liability_payable","True","","","ge_account_340000",""
"ge_account_340120","Accrued Dividends Payable","340120","liability_payable","True","","","ge_account_340000",""
"ge_account_340210","Accrued Warranty Service Obligation","340210","liability_payable","True","","","ge_account_340000",""
"ge_account_340310","Accrued Vacation Leave Liability","340310","liability_payable","True","","","ge_account_340000",""
"ge_account_340320","Accrued Bonuses","340320","liability_payable","True","","","ge_account_340000",""
"ge_account_340330","Accrued Employee-Related Expenses","340330","liability_payable","True","","","ge_account_340000",""
"ge_account_340510","Accruals to (I/C)","340510","liability_payable","True","","","ge_account_340000",""
"ge_account_340990","Other Accrued Liabilities","340990","liability_payable","True","","","ge_account_340000",""
"ge_account_400000","Long-Term Liabilities","400000","liability_non_current","False","","","","False"
"ge_account_410000","Long-Term Loans","410000","liability_non_current","False","","","ge_account_400000","False"
"ge_account_410110","Long Term Loans","410110","liability_non_current","False","","","ge_account_410000",""
"ge_account_410120","Finance Lease Liabilities","410120","liability_non_current","False","","","ge_account_410000",""
"ge_account_410510","Long Term Intercompany Loans Payable (I/C)","410510","liability_non_current","False","","","ge_account_410000",""
"ge_account_410990","Other Long-Term Liabilities","410990","liability_non_current","False","","","ge_account_410000",""
"ge_account_440000","Deferred Income","440000","liability_non_current","False","","","ge_account_400000","False"
"ge_account_440610","Deferred Income Non-Current","440610","liability_non_current","False","","","ge_account_440000",""
"ge_account_450000","Provisions","450000","liability_non_current","False","","","ge_account_400000","False"
"ge_account_450990","Other Provisions","450990","liability_non_current","False","","","ge_account_450000",""
"ge_account_500000","Equity","500000","equity","False","","","","False"
"ge_account_510000","Capital & Contributions","510000","equity","False","","","ge_account_500000","False"
"ge_account_510110","Charter Capital","510110","equity","False","","","ge_account_510000",""
"ge_account_510210","Capital & Contributions","510210","equity","False","","","ge_account_510000",""
"ge_account_510310","Dividends","510310","equity","False","","","ge_account_510000",""
"ge_account_510710","Funding from Head Office Parent Company","510710","equity","False","","","ge_account_510000",""
"ge_account_530000","Profit / Loss","530000","equity_unaffected","False","","","ge_account_500000","False"
"ge_account_530110","Retained Earnings","530110","equity_unaffected","False","","","ge_account_530000",""
