"id","name","type_tax_use","amount","invoice_label","original_tax_ids","fiscal_position_ids","description","tax_group_id","repartition_line_ids/account_id","amount_type","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","active","repartition_line_ids/use_in_tax_closing","is_withholding_tax_on_payment","tax_exigibility","cash_basis_transition_account_id"
"ge_vat_sale_18","VAT 18%","sale","18","0.18","","ge_fiscal_position_vat","Domestic goods/services to all partners","ge_tax_group_vat_18","","percent","base","invoice","1(B)","100","True","True","","on_invoice",""
"","","","","","","","","","ge_account_333002","","tax","invoice","1(T)","100","","","","",""
"","","","","","","","","","","","base","refund","1(B)","100","","True","","",""
"","","","","","","","","","ge_account_333002","","tax","refund","1(T)","100","","","","",""
"ge_vat_sale_0_ex","VAT 0% Export","sale","0","0% Export","ge_vat_sale_18","ge_fiscal_position_foreign","Goods exported outside Georgia","ge_tax_group_vat_0","","percent","base","invoice","4(B)","100","True","","","on_invoice",""
"","","","","","","","","","","","tax","invoice","","100","","","","",""
"","","","","","","","","","","","base","refund","4(B)","100","","","","",""
"","","","","","","","","","","","tax","refund","","100","","","","",""
"ge_vat_sale_exempt_ded","VAT 0% Exempt (Deductible)","sale","0","Exempt","","","Exempt supplies where input VAT is deductible","ge_tax_group_vat_exempt","","percent","base","invoice","2(B)","100","True","True","","on_invoice",""
"","","","","","","","","","","","tax","invoice","","100","","","","",""
"","","","","","","","","","","","base","refund","2(B)","100","","True","","",""
"","","","","","","","","","","","tax","refund","","100","","","","",""
"ge_vat_sale_exempt_nded","VAT 0% Exempt (Non-Deductible)","sale","0","Exempt - not acceptable for deductions","","","Financial services and gambling","ge_tax_group_vat_exempt","","percent","base","invoice","3(B)","100","True","True","","on_invoice",""
"","","","","","","","","","","","tax","invoice","","100","","","","",""
"","","","","","","","","","","","base","refund","3(B)","100","","True","","",""
"","","","","","","","","","","","tax","refund","","100","","","","",""
"ge_vat_purchase_18","VAT 18%","purchase","18","0.18","","ge_fiscal_position_vat","Standard local purchases","ge_tax_group_vat_18","","percent","base","invoice","9(B)","100","True","True","","on_invoice",""
"","","","","","","","","","ge_account_334010","","tax","invoice","9(T)","100","","","","",""
"","","","","","","","","","","","base","refund","9(B)","100","","True","","",""
"","","","","","","","","","ge_account_334010","","tax","refund","9(T)","100","","","","",""
"ge_vat_purchase_0","VAT 0%","purchase","0","0","ge_vat_purchase_18","ge_fiscal_position_nonvat","Purchases from non-registered for VAT supplier","ge_tax_group_vat_0","","percent","base","invoice","10(B)","100","True","","","on_invoice",""
"","","","","","","","","","","","tax","invoice","10(T)","100","","","","",""
"","","","","","","","","","","","base","refund","10(B)","100","","","","",""
"","","","","","","","","","","","tax","refund","10(T)","100","","","","",""
"ge_import_duty_12","Import Duty 12%","purchase","12","12% Import","","","Goods imported in Georgia","ge_tax_group_vat_12","","division","base","invoice","","100","True","","","on_invoice",""
"","","","","","","","","","ge_account_333040","","tax","invoice","11(T)","100","","True","","",""
"","","","","","","","","","","","base","refund","","100","","","","",""
"","","","","","","","","","ge_account_333040","","tax","refund","11(T)","100","","True","","",""
