"id","name","country_id:id","tax_receivable_account_id:id","tax_payable_account_id:id"
"ge_tax_group_vat_18","VAT 18%","base.ge","ge_account_140610","ge_account_333010"
"ge_tax_group_vat_12","VAT 12%","base.ge","ge_account_140610","ge_account_333010"
"ge_tax_group_vat_5","VAT 5%","base.ge","ge_account_140610","ge_account_333010"
"ge_tax_group_vat_0","VAT 0%","base.ge","ge_account_140610","ge_account_333010"
"ge_tax_group_vat_exempt","VAT Exempt","base.ge","ge_account_140610","ge_account_333010"
"ge_tax_group_wht_4","Withholding 4%","base.ge","ge_account_140610","ge_account_331210"
"ge_tax_group_wht_5","Withholding 5%","base.ge","ge_account_140610","ge_account_331210"
"ge_tax_group_wht_10","Withholding 10%","base.ge","ge_account_140610","ge_account_331210"
"ge_tax_group_wht_15","Withholding 15%","base.ge","ge_account_140610","ge_account_331210"
"ge_tax_group_wht_0","Withholding 0%","base.ge","ge_account_140610","ge_account_331210"
