"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"tva_sale_19","19%","","","","19.0","percent","sale","tax_group_19","base","invoice","","+base_19","","",""
"","","","","","","","","","tax","invoice","pcg_4431","+tax_19","","",""
"","","","","","","","","","base","refund","","-base_19","","",""
"","","","","","","","","","tax","refund","pcg_4431","-tax_19","","",""
"tva_purchase_19","19%","","","","19.0","percent","purchase","tax_group_19","base","invoice","","+purc_base","","",""
"","","","","","","","","","tax","invoice","pcg_4452","+purc_tax","","",""
"","","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","","tax","refund","pcg_4452","-purc_tax","","",""
"tva_sale_10","10%","","","","10.0","percent","sale","tax_group_10","base","invoice","","+base_10","","",""
"","","","","","","","","","tax","invoice","pcg_4431","+tax_10","","",""
"","","","","","","","","","base","refund","","-base_10","","",""
"","","","","","","","","","tax","refund","pcg_4431","-tax_10","","",""
"tva_purchase_10","10%","","","","10.0","percent","purchase","tax_group_10","base","invoice","","+purc_base","","",""
"","","","","","","","","","tax","invoice","pcg_4452","+purc_tax","","",""
"","","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","","tax","refund","pcg_4452","-purc_tax","","",""
"tva_sale_5","5%","","","","5.0","percent","sale","tax_group_5","base","invoice","","+GW_5_base","","",""
"","","","","","","","","","tax","invoice","pcg_4431","+GW_5_tax","","",""
"","","","","","","","","","base","refund","","-GW_5_base","","",""
"","","","","","","","","","tax","refund","pcg_4431","-GW_5_tax","","",""
"tva_purchase_5","5%","","","","5.0","percent","purchase","tax_group_5","base","invoice","","","","",""
"","","","","","","","","","tax","invoice","pcg_4452","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","pcg_4452","","","",""
"tva_export_0","0% EX","0% (export)","","","0.0","","sale","tax_group_0","base","invoice","","+export","","","0% (exportation)"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","-export","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_import_19","19% EX","19% (import)","","","19.0","","purchase","tax_group_19","base","invoice","","+import_base||+base_19","","","19% (importation)"
"","","","","","","","","","tax","invoice","pcg_4452","+import_tax","","",""
"","","","","","","","","","tax","invoice","pcg_4431","-tax_19","-100","",""
"","","","","","","","","","base","refund","","-import_base||-base_19","","",""
"","","","","","","","","","tax","refund","pcg_4452","-import_tax","","",""
"","","","","","","","","","tax","refund","pcg_4431","+tax_19","-100","",""
"tva_import_10","10% EX","10% (import)","","","10.0","","purchase","tax_group_10","base","invoice","","+import_base||+base_10","","","10% (importation)"
"","","","","","","","","","tax","invoice","pcg_4452","+import_tax","","",""
"","","","","","","","","","tax","invoice","pcg_4431","-tax_10","-100","",""
"","","","","","","","","","base","refund","","-import_base||-base_10","","",""
"","","","","","","","","","tax","refund","pcg_4452","-import_tax","","",""
"","","","","","","","","","tax","refund","pcg_4431","+tax_10","-100","",""
"tva_exempt_0","0%","0% (exempt)","","","0.0","","sale","tax_group_0","base","invoice","","+sale_exempt","","","0% (exonéré)"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","-sale_exempt","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","","","0.0","","purchase","tax_group_0","base","invoice","","+purc_exempt","","","0% (exonéré)"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","-purc_exempt","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_withholding_19","19% WH","","False","","19.0","percent","sale","tax_group_19","base","invoice","","+base_19","","",""
"","","","","","","","","","tax","invoice","pcg_4452","-GW_withholding","-100","",""
"","","","","","","","","","tax","invoice","pcg_4431","+tax_19","","",""
"","","","","","","","","","base","refund","","-base_19","","",""
"","","","","","","","","","tax","refund","pcg_4452","+GW_withholding","-100","",""
"","","","","","","","","","tax","refund","pcg_4431","-tax_19","","",""
"tva_withholding_10","10% WH","","False","","10.0","percent","sale","tax_group_10","base","invoice","","+base_10","","",""
"","","","","","","","","","tax","invoice","pcg_4452","-GW_withholding","-100","",""
"","","","","","","","","","tax","invoice","pcg_4431","+tax_10","","",""
"","","","","","","","","","base","refund","","-base_10","","",""
"","","","","","","","","","tax","refund","pcg_4452","+GW_withholding","-100","",""
"","","","","","","","","","tax","refund","pcg_4431","-tax_10","","",""
