"id","name","code_prefix_start","code_prefix_end"
"group_000_009","Intangible Assets","000","009"
"group_010_019","Tangible Assets","010","019"
"group_020_029","Investment Property","020","029"
"group_030_039","Long-Term Financial Assets","030","039"
"group_040_049","Long-Term Receivables","040","049"
"group_050_059","Deferred Tax Assets","050","059"
"group_100_109","Cash and Cash Equivalents","100","109"
"group_110_119","Receivables from Related Parties","110","119"
"group_120_129","Receivables from Customers (Accounts Receivable)","120","129"
"group_130_139","Receivables from State Bodies and Institutions","130","139"
"group_140_149","Receivables from Employees","140","149"
"group_150_159","Other Receivables","150","159"
"group_160_169","Short-Term Financial Assets","160","169"
"group_190_199","Prepaid Expenses and Accrued Revenue (Accruals & Deferrals)","190","199"
"group_210_219","Short-Term Liabilities to Related Parties","210","219"
"group_220_229","Short-Term Liabilities and Suppliers (Account Payable)","220","229"
"group_230_239","Short-Term Liabilities for Taxes, Contributions, and Other Duties","230","239"
"group_240_249","Liabilities to Employees","240","249"
"group_250_259","Other Short-Term Liabilities and Short-Term Provisions","250","259"
"group_260_269","Short-Term Financial Liabilities","260","269"
"group_270_279","Long-Term Provisions","270","279"
"group_280_289","Long-Term Liabilities","280","289"
"group_290_299","Accrued Expenses and Deferred Revenue","290","299"
"group_300_309","Calculation of Inventory Purchases","300","309"
"group_310_319","Inventory of Raw Materials and Materials","310","319"
"group_320_329","Inventory of Spare Parts","320","329"
"group_350_359","Inventory of Small Tools, Packaging, and Car Tires","350","359"
"group_400_409","Operating Costs (Materials/Energy/Spare Parts)","400","409"
"group_410_419","Costs of Services","410","419"
"group_420_429","Salaries and Employee Costs","420","429"
"group_430_439","Depreciation/Amortization and Provisions","430","439"
"group_440_449","Other Operating Expenses","440","449"
"group_450_459","Impairment of Assets","450","459"
"group_460_469","Other Expenses","460","469"
"group_470_479","Financial Expenses","470","479"
"group_480_489","Loss from Associates and Discontinued Operations","480","489"
"group_490_499","Transfer of Expenses","490","499"
"group_600_609","Production Inventories","600","609"
"group_610_619","Biological Assets Inventories","610","619"
"group_630_639","Finished Goods Inventories","630","639"
"group_650_659","Calculation of Merchandise Purchases","650","659"
"group_660_669","Merchandise Inventories","660","669"
"group_670_679","Non-Current Assets Held for Sale","670","679"
"group_700_709","Cost of Goods and Services Sold","700","709"
"group_730_739","Revenue from Related Parties","730","739"
"group_740_749","Revenue from Unrelated Parties","740","749"
"group_750_759","Income from Impairment Reversal","750","759"
"group_760_769","Other Income","760","769"
"group_770_779","Financial Income","770","779"
"group_780_789","Profit from Associates and Discontinued Operations","780","789"
"group_790_799","Difference Between Revenues and Expenses","790","799"
"group_800_809","Results: Profit/Loss Before Taxation","800","809"
"group_810_819","Results: Profit Tax and Other Duties","810","819"
"group_820_829","Results: Net Profit/Loss","820","829"
"group_830_839","Results: Profit/Loss Attributable to Others","830","839"
"group_840_849","Other Comprehensive Income/Loss","840","849"
"group_850_859","OCI: Share in Associates","850","859"
"group_860_869","OCI: Profit Tax on OCI Components","860","869"
"group_870_879","OCI: Net Other Comprehensive Income","870","879"
"group_880_889","Total Comprehensive Income/Loss","880","889"
"group_890_899","Distribution of Profit","890","899"
"group_900_909","Capital: Subscribed Capital","900","909"
"group_910_919","Capital: Share Premiums","910","919"
"group_930_939","Capital: Revaluation Reserves","930","939"
"group_940_949","Capital: Reserves","940","949"
"group_950_959","Capital: Retained Earnings/Profit for Year","950","959"
"group_960_969","Capital: Carried Forward Loss","960","969"
"group_97","Capital: Non-Controlling Interest","97","97"
"group_990_994","Off-Balance Sheet Records - Assets","990","994"
"group_995_999","Off-Balance Sheet Records - Liabilities","995","999"
