"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids"
"l10n_mk_tax_18_sale","10","18%","18%","18%","18.0","percent","sale","l10n_mk_tax_group_18","True","base","invoice","01","","","l10n_mk_fiscal_position_domestic",""
"","","","","","","","","","","tax","invoice","02","","l10n_mk_account_2301","",""
"","","","","","","","","","","base","refund","01","","","",""
"","","","","","","","","","","tax","refund","02","","l10n_mk_account_2301","",""
"l10n_mk_tax_10_sale","20","10%","10%","10%","10.0","percent","sale","l10n_mk_tax_group_10","True","base","invoice","03","","","l10n_mk_fiscal_position_domestic",""
"","","","","","","","","","","tax","invoice","04","","l10n_mk_account_2301","",""
"","","","","","","","","","","base","refund","03","","","",""
"","","","","","","","","","","tax","refund","04","","l10n_mk_account_2301","",""
"l10n_mk_tax_5_sale","30","5%","5%","5%","5.0","percent","sale","l10n_mk_tax_group_5","True","base","invoice","05","","","l10n_mk_fiscal_position_domestic",""
"","","","","","","","","","","tax","invoice","06","","l10n_mk_account_2301","",""
"","","","","","","","","","","base","refund","05","","","",""
"","","","","","","","","","","tax","refund","06","","l10n_mk_account_2301","",""
"l10n_mk_tax_0_sale","40","0% Export","0%","0% EX","0.0","percent","sale","l10n_mk_tax_group_0","True","base","invoice","07","","","l10n_mk_fiscal_position_foreign","l10n_mk_tax_18_sale,l10n_mk_tax_10_sale,l10n_mk_tax_5_sale"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","07","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"l10n_mk_tax_0_sale_ex_d","50","0% Zero rated Deductible (art. 24)","0%","0% EX D","0.0","percent","sale","l10n_mk_tax_group_0","True","base","invoice","08","","","l10n_mk_fiscal_position_domestic",""
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","08","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"l10n_mk_tax_0_sale_ex_nd","60","0% Exempt Non-Deductible","0%","0% EX ND","0.0","percent","sale","l10n_mk_tax_group_0","True","base","invoice","09","","","l10n_mk_fiscal_position_domestic",""
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","09","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"l10n_mk_tax_0_sale_ex_s","60","0% Export Services","0%","0% EX S","0.0","percent","sale","l10n_mk_tax_group_0","True","base","invoice","10","","","l10n_mk_fiscal_position_foreign",""
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","10","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"l10n_mk_tax_18_purchase","10","18%","18%","18%","18.0","percent","purchase","l10n_mk_tax_group_18","True","base","invoice","21","","","l10n_mk_fiscal_position_domestic",""
"","","","","","","","","","","tax","invoice","22","","l10n_mk_account_1301","",""
"","","","","","","","","","","base","refund","21","","","",""
"","","","","","","","","","","tax","refund","22","","l10n_mk_account_1301","",""
