id,name,type_tax_use,amount,amount_type,description,invoice_label,tax_group_id,tax_scope,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent,description@ar,fiscal_position_ids,original_tax_ids,active,tax_exigibility,repartition_line_ids/use_in_tax_closing,price_include_override,include_base_amount,cash_basis_transition_account_id,is_withholding_tax_on_payment,l10n_sa_is_retention,l10n_sa_exemption_reason_code
sa_local_sales_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-OOS
sa_export_sales_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-32
sa_export_services_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-33
sa_international_transport_goods_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-34-1
sa_international_transport_passengers_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-34-2
sa_international_transport_passengers_services_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-34-3
sa_qualifying_transport_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-34-4
sa_any_goods_passengers_transport_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-34-5
sa_medicines_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-35
sa_qualifying_metals_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-36
sa_private_education_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-EDU
sa_private_healthcare_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-HEA
sa_exempt_sales_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-29
sa_exempt_life_insurance_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-29-7
sa_exempt_real_estate_tax_0,,,,,,,,,,,,,,,,,,,,,,,,,VATEX-SA-30
sa_sales_retention_0,0% R,sale,0.0,percent,Retention,0% Retention,sa_tax_group_taxes_vat,,base,invoice,,,,استبقاء,"l10n_sa_account_fiscal_position_ksa,l10n_sa_account_fiscal_position_gcc",,,,,,,,,True,VATEX-SA-OOS
,,,,,,,,,tax,invoice,,,,,,,,,,,,,,,
,,,,,,,,,base,refund,,,,,,,,,,,,,,,
,,,,,,,,,tax,refund,,,,,,,,,,,,,,,
sa_sales_penalty_0,0% P,sale,0.0,percent,Penalty,0% penalty,sa_tax_group_taxes_vat,,base,invoice,,,,عقوبة,"l10n_sa_account_fiscal_position_ksa,l10n_sa_account_fiscal_position_gcc",,,,,,,,,True,VATEX-SA-OOS
,,,,,,,,,tax,invoice,,,,,,,,,,,,,,,
,,,,,,,,,base,refund,,,,,,,,,,,,,,,
,,,,,,,,,tax,refund,,,,,,,,,,,,,,,
