"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"tva_sale_18","18%","","","18.0","percent","sale","tax_group_18","base","invoice","","+base_sale_18","","",""
"","","","","","","","","tax","invoice","pcg_4431","+tax_sale_18","","",""
"","","","","","","","","base","refund","","-base_sale_18","","",""
"","","","","","","","","tax","refund","pcg_4431","-tax_sale_18","","",""
"tva_purchase_18","18%","","","18.0","percent","purchase","tax_group_18","base","invoice","","+base_purchase","","",""
"","","","","","","","","tax","invoice","pcg_4452","+tax_purchase","","",""
"","","","","","","","","base","refund","","-base_purchase","","",""
"","","","","","","","","tax","refund","pcg_4452","-tax_purchase","","",""
"tva_sale_10","10%","","","10.0","percent","sale","tax_group_10","base","invoice","","+base_sale_10","","",""
"","","","","","","","","tax","invoice","pcg_4431","+tax_sale_10","","",""
"","","","","","","","","base","refund","","-base_sale_10","","",""
"","","","","","","","","tax","refund","pcg_4431","-tax_sale_10","","",""
"tva_purchase_10","10%","","","10.0","percent","purchase","tax_group_10","base","invoice","","+base_purchase","","",""
"","","","","","","","","tax","invoice","pcg_4452","+tax_purchase","","",""
"","","","","","","","","base","refund","","-base_purchase","","",""
"","","","","","","","","tax","refund","pcg_4452","-tax_purchase","","",""
"tva_export_0","0% EX","0% (export)","","0.0","","sale","tax_group_0","base","invoice","","+export","","","0% (exportation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-export","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_import_18","18% EX","18% (import)","","18.0","","purchase","tax_group_18","base","invoice","","+base_sale_18||+base_import","","","18% (importation)"
"","","","","","","","","tax","invoice","pcg_4452","+tax_import","","",""
"","","","","","","","","tax","invoice","pcg_4431","-tax_sale_18","-100","",""
"","","","","","","","","base","refund","","-base_sale_18||-base_import","","",""
"","","","","","","","","tax","refund","pcg_4452","-tax_import","","",""
"","","","","","","","","tax","refund","pcg_4431","+tax_sale_18","-100","",""
"tva_import_10","10% EX","10% (import)","","10.0","","purchase","tax_group_10","base","invoice","","+base_sale_10||+base_import","","","10% (importation)"
"","","","","","","","","tax","invoice","pcg_4452","+tax_import","","",""
"","","","","","","","","tax","invoice","pcg_4431","-tax_sale_10","-100","",""
"","","","","","","","","base","refund","","-base_sale_10||-base_import","","",""
"","","","","","","","","tax","refund","pcg_4452","-tax_import","","",""
"","","","","","","","","tax","refund","pcg_4431","+tax_sale_10","-100","",""
"tva_exempt_0","0%","0% (exempt)","","0.0","","sale","tax_group_0","base","invoice","","+sale_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-sale_exempt","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_non_impos_0","NI","0% (non imposable)","","0.0","","sale","tax_group_0","base","invoice","","+non_taxed","","","0% (non imposable)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-non_taxed","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_sale_18_sd","0% SD","0% Self Delivery","","0.0","percent","sale","tax_group_0","base","invoice","","+sale_self","","0% Livraison à soi-meme","0 LASM"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-sale_self","","",""
"","","","","","","","","tax","refund","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","tax_group_0","base","invoice","","","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","","","",""
"","","","","","","","","tax","refund","","","","",""
