"id","code","name","account_type","reconcile","tag_ids","non_trade"
"l10n_th_account_111100","111100","Cash on Hand","asset_cash","True","",""
"l10n_th_account_111200","111200","Bank Deposits","asset_cash","True","",""
"l10n_th_account_111201","111201","Bank Suspense Account","asset_current","True","",""
"l10n_th_account_111202","111202","Liquidity Transfer","asset_current","True","",""
"l10n_th_account_111300","111300","Cash Equivalents","asset_cash","True","",""
"l10n_th_account_112100","112100","Trade Receivables","asset_receivable","True","",""
"l10n_th_account_112101","112101","Trade Receivables (POS)","asset_receivable","True","",""
"l10n_th_account_112190","112190","Allowance for Doubtful Accounts","asset_current","False","",""
"l10n_th_account_112200","112200","Other Receivables","asset_current","True","",""
"l10n_th_account_113100","113100","Goods for resale","asset_current","False","",""
"l10n_th_account_113200","113200","Raw materials","asset_current","False","",""
"l10n_th_account_113300","113300","Consumables","asset_current","False","",""
"l10n_th_account_113400","113400","Work in Process","asset_current","False","",""
"l10n_th_account_113900","113900","Allowance for Inventory Decline","asset_current","False","",""
"l10n_th_account_114100","114100","Undue Input VAT","asset_current","True","",""
"l10n_th_account_114200","114200","Input VAT","asset_current","True","",""
"l10n_th_account_114300","114300","WHT Creditable","asset_current","True","",""
"l10n_th_account_114400","114400","VAT Receivable","asset_receivable","True","","True"
"l10n_th_account_114401","114401","WHT Receivable","asset_receivable","True","","True"
"l10n_th_account_114500","114500","Prepaid CIT (PND 51)","asset_current","True","",""
"l10n_th_account_115100","115100","Temporary Investments","asset_current","False","",""
"l10n_th_account_115200","115200","Biological Assets (Current)","asset_current","False","",""
"l10n_th_account_121100","121100","Investments in Associates","asset_non_current","False","",""
"l10n_th_account_122100","122100","Investment Property","asset_non_current","False","",""
"l10n_th_account_123100","123100","Land","asset_fixed","False","",""
"l10n_th_account_123150","123150","Land Improvements","asset_fixed","False","",""
"l10n_th_account_123151","123151","Accum. Depr. - Land Improvements","asset_fixed","False","",""
"l10n_th_account_123200","123200","Buildings (Structure)","asset_fixed","False","",""
"l10n_th_account_123201","123201","Accum. Depr. - Buildings","asset_fixed","False","",""
"l10n_th_account_123210","123210","Building Installations","asset_fixed","False","",""
"l10n_th_account_123211","123211","Accum. Depr. - Installations","asset_fixed","False","",""
"l10n_th_account_123220","123220","Construction in Progress","asset_fixed","False","",""
"l10n_th_account_123230","123230","Machinery & Tools","asset_fixed","False","",""
"l10n_th_account_123231","123231","Accum. Depr. - Machinery","asset_fixed","False","",""
"l10n_th_account_123240","123240","Major Spare Parts (Stand-by)","asset_fixed","False","",""
"l10n_th_account_123241","123241","Accum. Depr. - Major Spares","asset_fixed","False","",""
"l10n_th_account_123250","123250","Vehicles","asset_fixed","False","",""
"l10n_th_account_123251","123251","Accum. Depr. - Vehicles","asset_fixed","False","",""
"l10n_th_account_123260","123260","Vehicle Accessories","asset_fixed","False","",""
"l10n_th_account_123261","123261","Accum. Depr. - Vehicle Acc.","asset_fixed","False","",""
"l10n_th_account_123270","123270","Furniture & Fixtures","asset_fixed","False","",""
"l10n_th_account_123271","123271","Accum. Depr. - Furniture","asset_fixed","False","",""
"l10n_th_account_123280","123280","Technology & Computers","asset_fixed","False","",""
"l10n_th_account_123281","123281","Accum. Depr. - Technology","asset_fixed","False","",""
"l10n_th_account_123290","123290","Other Fixed Assets","asset_fixed","False","",""
"l10n_th_account_123291","123291","Accum. Depr. - Other Assets","asset_fixed","False","",""
"l10n_th_account_124100","124100","Computer Software","asset_non_current","False","",""
"l10n_th_account_124101","124101","Accum. Amortization - Software","asset_non_current","False","",""
"l10n_th_account_124200","124200","Goodwill","asset_non_current","False","",""
"l10n_th_account_211100","211100","Bank Overdrafts","liability_current","True","",""
"l10n_th_account_211200","211200","Short-term Loans","liability_current","True","",""
"l10n_th_account_212100","212100","Trade Payables","liability_payable","True","",""
"l10n_th_account_212200","212200","Other Payables","liability_current","True","",""
"l10n_th_account_212300","212300","Accrued Expenses","liability_current","True","",""
