"id","name","method","method_number","method_period","account_asset_id","account_depreciation_id"
"l10n_th_asset_land_improvements","Land Improvements","linear","12","10","l10n_th_account_123150","l10n_th_account_123151"
l10n_th_asset_buildings_structure,"Buildings (Structure)","linear","12","20","l10n_th_account_123200","l10n_th_account_123201"
"l10n_th_asset_building_installations","Building Installations","linear","12","10","l10n_th_account_123210","l10n_th_account_123211"
l10n_th_asset_machinery_tools,"Machinery & Tools","linear","12","5","l10n_th_account_123230","l10n_th_account_123231"
l10n_th_asset_major_spare_parts_stand_by,"Major Spare Parts (Stand-by)","linear","12","5","l10n_th_account_123240","l10n_th_account_123241"
"l10n_th_asset_vehicles","Vehicles","linear","12","5","l10n_th_account_123250","l10n_th_account_123251"
"l10n_th_asset_vehicle_accessories","Vehicle Accessories","linear","12","5","l10n_th_account_123260","l10n_th_account_123261"
l10n_th_asset_furniture_fixtures,"Furniture & Fixtures","linear","12","5","l10n_th_account_123270","l10n_th_account_123271"
l10n_th_asset_technology_computers,"Technology & Computers","linear","12","3","l10n_th_account_123280","l10n_th_account_123281"
"l10n_th_asset_other_fixed_assets","Other Fixed Assets","linear","12","5","l10n_th_account_123290","l10n_th_account_123291"
