"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","active","country_id","tax_exigibility","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","fiscal_position_ids","original_tax_ids"
"l10n_th_tax_purchase_7","7%","","Input VAT 7%","","purchase","","percent","7","","","",base.th,"","","base","invoice","","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114200","7. Input tax (according to invoice of purchase amount in 6.)","","",""
"","","","","","","","","","","","","","","","base","refund","","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114200","7. Input tax (according to invoice of purchase amount in 6.)","","",""
"l10n_th_tax_sale_7","7%","","Output VAT 7%","","sale","","percent","7","","","",base.th,"","","base","invoice","","1. Sales amount","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213200","5. Output tax","","",""
"","","","","","","","","","","","","","","","base","refund","","1. Sales amount","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213200","5. Output tax","","",""
"l10n_th_tax_purchase_0","0%","","Input VAT 0%","","purchase","","percent","0","","","",base.th,"","","base","invoice","","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114200","7. Input tax (according to invoice of purchase amount in 6.)","","",""
"","","","","","","","","","","","","","","","base","refund","","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114200","7. Input tax (according to invoice of purchase amount in 6.)","","",""
"l10n_th_tax_sale_0","0%","","Output VAT 0%","","sale","","percent","0","","","",base.th,"","","base","invoice","","1. Sales amount||2. Less sales subject to 0% tax rate","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213200","5. Output tax","","",""
"","","","","","","","","","","","","","","","base","refund","","1. Sales amount||2. Less sales subject to 0% tax rate","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213200","5. Output tax","","",""
"l10n_th_tax_purchase_0_exempt","0% EXEMPT","","Input VAT Exempted","","purchase","","percent","0","","","",base.th,"","","base","invoice","","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114200","7. Input tax (according to invoice of purchase amount in 6.)","","",""
"","","","","","","","","","","","","","","","base","refund","","6. Purchase amount that is entitled to deduction of input tax from output tax in tax computation","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114200","7. Input tax (according to invoice of purchase amount in 6.)","","",""
"l10n_th_tax_sale_0_exempt","0% EXEMPT","","Output VAT Exempted","","sale","","percent","0","","","",base.th,"","","base","invoice","","1. Sales amount||3. Less exempted sales","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213200","5. Output tax","","",""
"","","","","","","","","","","","","","","","base","refund","","1. Sales amount||3. Less exempted sales","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213200","5. Output tax","","",""
"l10n_th_tax_purchase_1_wh_c_t","1% WH C T","","Company Withholding Tax 1% (Transportation)","","purchase","","percent","-1","","","",base.th,"","","base","invoice","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213302","PND53","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213302","PND53","","",""
"l10n_th_tax_purchase_2_wh_c_a","2% WH C A","","Company Withholding Tax 2% (Advertising)","","purchase","","percent","-2","","","",base.th,"","","base","invoice","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213302","PND53","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213302","PND53","","",""
"l10n_th_tax_purchase_3_wh_c_s","3% WH C S","","Company Withholding Tax 3% (Service)","","purchase","","percent","-3","","","",base.th,"","","base","invoice","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213302","PND53","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213302","PND53","","",""
"l10n_th_tax_purchase_5_wh_c_r","5% WH C R","","Company Withholding Tax 5% (Rental)","","purchase","","percent","-5","","","",base.th,"","","base","invoice","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213302","PND53","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND53","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213302","PND53","","",""
"l10n_th_tax_purchase_1_wh_p_t","1% WH P T","","Personal Withholding Tax 1% (Transportation)","","purchase","","percent","-1","","","",base.th,"","","base","invoice","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213301","PND3","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213301","PND3","","",""
"l10n_th_tax_purchase_2_wh_p_a","2% WH P A","","Personal Withholding Tax 2% (Advertising)","","purchase","","percent","-2","","","",base.th,"","","base","invoice","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213301","PND3","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213301","PND3","","",""
"l10n_th_tax_purchase_3_wh_p_s","3% WH P S","","Personal Withholding Tax 3% (Service)","","purchase","","percent","-3","","","",base.th,"","","base","invoice","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213301","PND3","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213301","PND3","","",""
"l10n_th_tax_purchase_5_wh_p_r","5% WH P R","","Personal Withholding Tax 5% (Rental)","","purchase","","percent","-5","","","",base.th,"","","base","invoice","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_213301","PND3","","",""
"","","","","","","","","","","","","","","","base","refund","","Income PND3","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_213301","PND3","","",""
"l10n_th_tax_sale_1_wh_t","1% WH T","","Withholding Income Tax 1% (Transportation)","","sale","","percent","-1","","","",base.th,"","","base","invoice","","","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114300","","False","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114300","","False","",""
"l10n_th_tax_sale_2_wh_a","2% WH A","","Withholding Income Tax 2% (Advertising)","","sale","","percent","-2","","","",base.th,"","","base","invoice","","","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114300","","False","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114300","","False","",""
"l10n_th_tax_sale_3_wh_s","3% WH S","","Withholding Income Tax 3% (Service)","","sale","","percent","-3","","","",base.th,"","","base","invoice","","","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114300","","False","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114300","","False","",""
"l10n_th_tax_sale_5_wh_r","5% WH R","","Withholding Income Tax 5% (Rental)","","sale","","percent","-5","","","",base.th,"","","base","invoice","","","","",""
"","","","","","","","","","","","","","","","tax","invoice","l10n_th_account_114300","","False","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","l10n_th_account_114300","","False","",""
