city,county
city_us_01,county_us_36081
city_us_02,county_us_06037
city_us_03,county_us_17031
city_us_04,county_us_12086
city_us_05,county_us_48201
city_us_06,county_us_48113
city_us_07,county_us_42101
city_us_08,county_us_13121
city_us_09,county_us_11001
city_us_10,county_us_25025
city_us_11,county_us_04013
city_us_12,county_us_26163
city_us_13,county_us_53033
city_us_14,county_us_06075
city_us_15,county_us_06073
city_us_16,county_us_27053
city_us_17,county_us_12057
city_us_18,county_us_36047
city_us_19,county_us_08031
city_us_20,county_us_36081
city_us_21,county_us_06065
city_us_22,county_us_32003
city_us_25,county_us_41051
city_us_26,county_us_48029
city_us_27,county_us_06067
city_us_28,county_us_48453
city_us_29,county_us_12095
city_us_30,county_us_06085
city_us_31,county_us_42003
city_us_32,county_us_18097
city_us_33,county_us_36061
city_us_34,county_us_39061
city_us_35,county_us_29095
city_us_36,county_us_39035
city_us_37,county_us_39049
city_us_38,county_us_36005
city_us_40,county_us_37119
city_us_41,county_us_55079
city_us_42,county_us_44007
city_us_43,county_us_12031
city_us_44,county_us_47037
city_us_45,county_us_49035
city_us_46,county_us_37183
city_us_48,county_us_47157
city_us_49,county_us_40109
city_us_50,county_us_09110
city_us_51,county_us_21111
city_us_52,county_us_36029
city_us_53,county_us_22071
city_us_54,county_us_48439
city_us_55,county_us_09120
city_us_56,county_us_04019
city_us_57,county_us_48141
city_us_58,county_us_31055
city_us_59,county_us_48215
city_us_60,county_us_01073
city_us_61,county_us_35001
city_us_62,county_us_40143
city_us_63,county_us_06019
city_us_64,county_us_45019
city_us_65,county_us_36055
city_us_66,county_us_39113
city_us_67,county_us_12071
city_us_68,county_us_06059
city_us_69,county_us_08041
city_us_70,county_us_22033
city_us_71,county_us_42077
city_us_72,county_us_49057
city_us_73,county_us_49049
city_us_74,county_us_47093
city_us_75,county_us_26081
city_us_76,county_us_45079
city_us_77,county_us_36001
city_us_78,county_us_06029
city_us_79,county_us_09170
city_us_80,county_us_19153
city_us_81,county_us_39153
city_us_82,county_us_12009
city_us_83,county_us_06013
city_us_84,county_us_20173
city_us_85,county_us_04013
city_us_86,county_us_42043
city_us_87,county_us_36085
city_us_88,county_us_39095
city_us_89,county_us_25027
city_us_90,county_us_06037
city_us_91,county_us_12111
city_us_92,county_us_05119
city_us_93,county_us_32031
city_us_94,county_us_53063
city_us_95,county_us_55025
city_us_96,county_us_16001
city_us_97,county_us_12071
city_us_98,county_us_48121
city_us_99,county_us_06001
city_us_100,county_us_25013
city_us_101,county_us_13245
city_us_102,county_us_12097
city_us_103,county_us_37067
city_us_104,county_us_06077
city_us_105,county_us_36067
city_us_106,county_us_47065
city_us_107,county_us_42071
city_us_108,county_us_45045
city_us_109,county_us_37063
city_us_110,county_us_12033
city_us_111,county_us_05143
city_us_112,county_us_48439
city_us_113,county_us_08005
city_us_114,county_us_06111
city_us_115,county_us_06065
city_us_116,county_us_42069
city_us_117,county_us_06071
city_us_118,county_us_34021
city_us_119,county_us_06099
city_us_120,county_us_01089
city_us_121,county_us_15003
city_us_122,county_us_37081
city_us_123,county_us_06059
city_us_124,county_us_48355
city_us_125,county_us_18003
city_us_126,county_us_08069
city_us_127,county_us_28049
city_us_128,county_us_45051
city_us_129,county_us_37051
city_us_130,county_us_06013
city_us_131,county_us_26065
city_us_132,county_us_21067
city_us_133,county_us_01097
city_us_134,county_us_39099
city_us_135,county_us_32003
city_us_136,county_us_13051
city_us_137,county_us_36027
city_us_138,county_us_06059
city_us_139,county_us_26161
city_us_140,county_us_27123
city_us_141,county_us_34013
city_us_142,county_us_06059
city_us_143,county_us_06097
city_us_144,county_us_39151
city_us_145,county_us_37021
city_us_146,county_us_26049
city_us_147,county_us_12105
city_us_148,county_us_02020
city_us_149,county_us_31109
city_us_150,county_us_37025
city_us_151,county_us_34017
city_us_152,county_us_29077
city_us_153,county_us_48085
city_us_154,county_us_22017
city_us_155,county_us_19163
city_us_156,county_us_48303
city_us_157,county_us_12105
city_us_158,county_us_18141
city_us_159,county_us_06073
city_us_160,county_us_04013
city_us_161,county_us_17201
city_us_162,county_us_42011
city_us_163,county_us_41039
city_us_164,county_us_37129
city_us_165,county_us_06037
city_us_166,county_us_04013
city_us_167,county_us_41047
city_us_168,county_us_48027
city_us_169,county_us_17097
city_us_170,county_us_13215
city_us_171,county_us_32003
city_us_172,county_us_53005
city_us_173,county_us_12103
city_us_174,county_us_12073
city_us_175,county_us_48479
city_us_176,county_us_48113
city_us_177,county_us_17143
city_us_178,county_us_01101
city_us_180,county_us_04013
city_us_181,county_us_42133
city_us_182,county_us_33011
city_us_183,county_us_48113
city_us_184,county_us_04013
city_us_185,county_us_22055
city_us_187,county_us_51013
city_us_188,county_us_55087
city_us_189,county_us_45091
city_us_190,county_us_06001
city_us_191,county_us_38017
city_us_192,county_us_28047
city_us_193,county_us_53035
city_us_194,county_us_55009
city_us_195,county_us_32003
city_us_196,county_us_12086
city_us_197,county_us_12127
city_us_198,county_us_06071
city_us_199,county_us_12001
city_us_200,county_us_32003
city_us_201,county_us_53053
city_us_203,county_us_48061
city_us_204,county_us_48041
city_us_205,county_us_53067
city_us_206,county_us_47125
city_us_207,county_us_36119
city_us_208,county_us_06065
city_us_209,county_us_06111
city_us_210,county_us_23005
city_us_211,county_us_06071
city_us_212,county_us_37035
city_us_213,county_us_48375
city_us_214,county_us_46099
