"id","name","code","account_type","reconcile","name@vi_VN","tag_ids"
"chart1111","Cash","111","asset_cash","False","Tiền mặt",""
"chart112","Demand Deposit","112","asset_cash","False","Tiền gửi không kỳ hạn",""
"chart1121","Bank Suspense Account","1121","asset_current","False","Tài khoản tạm thời ngân hàng",""
"chart1131","Money in transit","113","asset_cash","False","Tiền đang chuyển",""
"account_journal_payment_debit_account_id","Outstanding Receipts","1131","asset_current","True","Biên lai chưa thanh toán",""
"account_journal_payment_credit_account_id","Outstanding Payments","1132","asset_current","True","Khoản chi chưa thanh toán",""
"chart121","Trading Securities","121","asset_current","False","Chứng khoán kinh doanh","l10n_vn.operating_trading_securities"
"chart12811","Time deposits - less than 3 months","12811","asset_current","False","Tiền gửi có kỳ hạn - dưới 3 tháng","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12812","Time deposits - 3-12 months","12812","asset_current","False","Tiền gửi có kỳ hạn - 3-12 tháng","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12813","Time deposits - long term","12813","asset_current","False","Tiền gửi có kỳ hạn - dài hạn","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12822","Bonds - 3-12 months","12822","asset_current","False","Trái phiếu - 3-12 tháng","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12823","Bonds - long term","12823","asset_current","False","Trái phiếu - dài hạn","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12831","Loans - short term","12831","asset_current","False","Cho vay - ngắn hạn","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12832","Loans - long term","12832","asset_current","False","Cho vay - dài hạn","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12881","Other investments held to maturity - less than 3 months","12881","asset_current","False","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn - dưới 3 tháng","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12882","Other investments held to maturity - 3-12 months","12882","asset_current","False","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn - 3-12 tháng","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart12883","Other investments held to maturity - long term","12883","asset_current","False","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn - dài hạn","l10n_vn.investing_cash_out_debt_instruments,l10n_vn.investing_cash_in_debt_instruments"
"chart1311","Trade receivables - short term","1311","asset_receivable","True","Phải thu của khách hàng - ngắn hạn",""
"chart13111","Trade receivables - short term","13111","asset_receivable","True","Phải thu của khách hàng - ngắn hạn","l10n_vn.operating_trade_receivable"
